feature,type,non_null,null_pct,mean,std
Blue_AvgChampId,float64,97883,0.0,209.7594,114.4059
Red_AvgChampId,float64,97883,0.0,207.6337,113.8697
Blue_UniqueChamps,int64,97883,0.0,4.9921,0.09
Red_UniqueChamps,int64,97883,0.0,4.9923,0.0893
ChampId_Diff,float64,97883,0.0,2.1257,163.257
UniqueChamps_Diff,int64,97883,0.0,-0.0002,0.1239
Blue_AvgChampWinRate,float64,97883,0.0,0.5,0.005
Red_AvgChampWinRate,float64,97883,0.0,0.5,0.005
ChampWinRate_Diff,float64,97883,0.0,-0.0,0.0071
Blue_Kills,int64,97883,0.0,35.6374,17.136
Red_Kills,int64,97883,0.0,28.7067,18.7784
Kill_Diff,int64,97883,0.0,6.9307,23.1838
Blue_Towers,int64,97883,0.0,4.6868,3.872
Red_Towers,int64,97883,0.0,4.6077,3.8815
Tower_Diff,int64,97883,0.0,0.0791,5.4748
Blue_Dragons,int64,97883,0.0,1.3709,1.4037
Red_Dragons,int64,97883,0.0,1.5348,1.4814
Dragon_Diff,int64,97883,0.0,-0.1639,2.0855
Blue_Barons,int64,97883,0.0,0.2797,0.5275
Red_Barons,int64,97883,0.0,0.3048,0.5534
Baron_Diff,int64,97883,0.0,-0.0251,0.7924
Blue_Heralds,int64,97883,0.0,0.3842,0.4865
Red_Heralds,int64,97883,0.0,0.31,0.4625
Herald_Diff,int64,97883,0.0,0.0743,0.8299
Region_Code,int64,97883,0.0,0.2344,0.4241
GameDuration,int64,97883,0.0,1626.1548,453.0382
BlueWin,int64,97883,0.0,0.5657,0.4957
